# GO_ID	C0	C1	Gene	C3	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16
GO:0005509	UniProtKB	A0A024QZ42	PDCD6		GO_REF:0000002	IEA	InterPro:IPR002048	F	HCG1985580, isoform CRA_c	A0A024QZ42_HUMAN|PDCD6|hCG_1985580	protein	taxon:9606	20160409	InterPro		
GO:1900039	UniProtKB	O95069	KCNK2		GO_REF:0000019	IEA	Ensembl:ENSRNOP00000003684	P	Potassium channel subfamily K member 2	KCNK2_HUMAN|KCNK2|TREK|TREK1	protein	taxon:9606	20160409	Ensembl		
GO:2000279	UniProtKB	O95069	KCNK2		GO_REF:0000019	IEA	Ensembl:ENSRNOP00000003684	P	Potassium channel subfamily K member 2	KCNK2_HUMAN|KCNK2|TREK|TREK1	protein	taxon:9606	20160409	Ensembl		
GO:0035413	UniProtKB	O95071	UBR5		PMID:21118991	IMP		P	E3 ubiquitin-protein ligase UBR5	UBR5_HUMAN|UBR5|EDD|EDD1|HYD|KIAA0896	protein	taxon:9606	20101220	BHF-UCL		
GO:0050847	UniProtKB	O95071	UBR5		PMID:12011095	IDA		P	E3 ubiquitin-protein ligase UBR5	UBR5_HUMAN|UBR5|EDD|EDD1|HYD|KIAA0896	protein	taxon:9606	20050519	HGNC		
GO:1901315	UniProtKB	O95071	UBR5		PMID:22884692	IMP		P	E3 ubiquitin-protein ligase UBR5	UBR5_HUMAN|UBR5|EDD|EDD1|HYD|KIAA0896	protein	taxon:9606	20120824	UniProt		
GO:2000780	UniProtKB	O95071	UBR5		PMID:22884692	IMP		P	E3 ubiquitin-protein ligase UBR5	UBR5_HUMAN|UBR5|EDD|EDD1|HYD|KIAA0896	protein	taxon:9606	20120824	UniProt		
GO:0001159	UniProtKB	O95096	NKX2-2		GO_REF:0000024	ISS	UniProtKB:P42586	F	Homeobox protein Nkx-2.2	NKX22_HUMAN|NKX2-2|NKX2.2|NKX2B	protein	taxon:9606	20110615	UniProt		
GO:0003326	UniProtKB	O95096	NKX2-2		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000069666	P	Homeobox protein Nkx-2.2	NKX22_HUMAN|NKX2-2|NKX2.2|NKX2B	protein	taxon:9606	20160409	Ensembl		
GO:0003327	UniProtKB	O95096	NKX2-2		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000069666	P	Homeobox protein Nkx-2.2	NKX22_HUMAN|NKX2-2|NKX2.2|NKX2B	protein	taxon:9606	20160409	Ensembl		
GO:0003329	UniProtKB	O95096	NKX2-2		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000069666	P	Homeobox protein Nkx-2.2	NKX22_HUMAN|NKX2-2|NKX2.2|NKX2B	protein	taxon:9606	20160409	Ensembl		
GO:0014003	UniProtKB	O95096	NKX2-2		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000069666	P	Homeobox protein Nkx-2.2	NKX22_HUMAN|NKX2-2|NKX2.2|NKX2B	protein	taxon:9606	20160409	Ensembl		
GO:0021530	UniProtKB	O95096	NKX2-2		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000069666	P	Homeobox protein Nkx-2.2	NKX22_HUMAN|NKX2-2|NKX2.2|NKX2B	protein	taxon:9606	20160409	Ensembl		
GO:0021554	UniProtKB	O95096	NKX2-2		GO_REF:0000019	IEA	Ensembl:ENSRNOP00000017364	P	Homeobox protein Nkx-2.2	NKX22_HUMAN|NKX2-2|NKX2.2|NKX2B	protein	taxon:9606	20160409	Ensembl		
GO:0048708	UniProtKB	O95096	NKX2-2		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000069666	P	Homeobox protein Nkx-2.2	NKX22_HUMAN|NKX2-2|NKX2.2|NKX2B	protein	taxon:9606	20160409	Ensembl		
GO:0060580	UniProtKB	O95096	NKX2-2		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000069666	P	Homeobox protein Nkx-2.2	NKX22_HUMAN|NKX2-2|NKX2.2|NKX2B	protein	taxon:9606	20160409	Ensembl		
GO:0090394	UniProtKB	O95136	S1PR2		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000053394	P	Sphingosine 1-phosphate receptor 2	S1PR2_HUMAN|S1PR2|EDG5	protein	taxon:9606	20160409	Ensembl		
GO:0001825	UniProtKB	O95140	MFN2		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000030884	P	Mitofusin-2	MFN2_HUMAN|MFN2|CPRP1|KIAA0214	protein	taxon:9606	20160409	Ensembl		
GO:0031306	UniProtKB	O95140	MFN2		GO_REF:0000024	ISS	UniProtKB:Q8R500	C	Mitofusin-2	MFN2_HUMAN|MFN2|CPRP1|KIAA0214	protein	taxon:9606	20051026	UniProt		
GO:0034497	UniProtKB	O95140	MFN2		PMID:23455425	IDA		P	Mitofusin-2	MFN2_HUMAN|MFN2|CPRP1|KIAA0214	protein	taxon:9606	20140707	MGI		
GO:0048593	UniProtKB	O95140	MFN2		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000030884	P	Mitofusin-2	MFN2_HUMAN|MFN2|CPRP1|KIAA0214	protein	taxon:9606	20160409	Ensembl		
GO:0051646	UniProtKB	O95140	MFN2		PMID:11181170	IDA		P	Mitofusin-2	MFN2_HUMAN|MFN2|CPRP1|KIAA0214	protein	taxon:9606	20051117	UniProt		
GO:0061015	UniProtKB	O95149	SNUPN		GO_REF:0000002	IEA	InterPro:IPR017336	P	Snurportin-1	SPN1_HUMAN|SNUPN|RNUT1|SPN1	protein	taxon:9606	20160409	InterPro		
GO:0042107	UniProtKB	O95150	TNFSF15		PMID:11911831	IDA		P	Tumor necrosis factor ligand superfamily member 15	TNF15_HUMAN|TNFSF15|TL1|VEGI	protein	taxon:9606	20030418	MGI		
GO:0030156	UniProtKB	O95153	BZRAP1		PMID:9915832	IPI	UniProtKB:O76068	F	Peripheral-type benzodiazepine receptor-associated protein 1	RIMB1_HUMAN|BZRAP1|KIAA0612|RBP1|RIMBP1	protein	taxon:9606	20021106	UniProt		
GO:0008626	UniProtKB	O95155	UBE4B		PMID:11802788	IDA		P	Ubiquitin conjugation factor E4 B	UBE4B_HUMAN|UBE4B|HDNB1|KIAA0684|UFD2	protein	taxon:9606	20130426	UniProt		
GO:0008607	UniProtKB	O95163	IKBKAP		PMID:11818576	IDA		F	Elongator complex protein 1	ELP1_HUMAN|IKBKAP|ELP1|IKAP	protein	taxon:9606	20070824	UniProt		
GO:0032342	UniProtKB	O95180	CACNA1H		PMID:19342457	IMP		P	Voltage-dependent T-type calcium channel subunit alpha-1H	CAC1H_HUMAN|CACNA1H	protein	taxon:9606	20110524	UniProt		
GO:0034651	UniProtKB	O95180	CACNA1H		PMID:19342457	IMP		P	Voltage-dependent T-type calcium channel subunit alpha-1H	CAC1H_HUMAN|CACNA1H	protein	taxon:9606	20110524	UniProt		
GO:0035865	UniProtKB	O95180	CACNA1H		PMID:19342457	IEP		P	Voltage-dependent T-type calcium channel subunit alpha-1H	CAC1H_HUMAN|CACNA1H	protein	taxon:9606	20110527	UniProt		
GO:0033564	UniProtKB	O95185	UNC5C		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000074758	P	Netrin receptor UNC5C	UNC5C_HUMAN|UNC5C|UNC5H3	protein	taxon:9606	20160409	Ensembl		
GO:1902268	UniProtKB	O95190	OAZ2		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000136914	P	Ornithine decarboxylase antizyme 2	OAZ2_HUMAN|OAZ2	protein	taxon:9606	20160409	Ensembl		
GO:0071786	UniProtKB	O95197	RTN3		PMID:18779370	IMP		P	Reticulon-3	RTN3_HUMAN|RTN3|ASYIP|NSPL2	protein	taxon:9606	20110125	UniProt		
GO:0071787	UniProtKB	O95197	RTN3		PMID:25612671	IDA		P	Reticulon-3	RTN3_HUMAN|RTN3|ASYIP|NSPL2	protein	taxon:9606	20160312	UniProt		
GO:0005087	UniProtKB	O95199	RCBTB2		PMID:9806834	TAS		F	RCC1 and BTB domain-containing protein 2	RCBT2_HUMAN|RCBTB2|CHC1L|RLG	protein	taxon:9606	20030904	PINC		
GO:0010729	UniProtKB	O95201	ZNF205		PMID:22306510	IMP		P	Zinc finger protein 205	ZN205_HUMAN|ZNF205|ZNF210	protein	taxon:9606	20121109	BHF-UCL		
GO:0042407	UniProtKB	O95202	LETM1		PMID:18628306	IMP		P	LETM1 and EF-hand domain-containing protein 1, mitochondrial	LETM1_HUMAN|LETM1	protein	taxon:9606	20090226	UniProt		
GO:0061723	UniProtKB	O95210	STBD1		PMID:20810658	IMP		P	Starch-binding domain-containing protein 1	STBD1_HUMAN|STBD1|GENX-3414	protein	taxon:9606	20150723	GO_Central		
GO:1903595	UniProtKB	O95219	SNX4		PMID:18253931	IMP		P	Sorting nexin-4	SNX4_HUMAN|SNX4	protein	taxon:9606	20141106	UniProt		
GO:0051649	UniProtKB	O95229	ZWINT		PMID:15485811	IDA		P	ZW10 interactor	ZWINT_HUMAN|ZWINT	protein	taxon:9606	20070328	HGNC		
GO:0005771	UniProtKB	O95237	LRAT		GO_REF:0000024	ISS	UniProtKB:Q9JI61	C	Lecithin retinol acyltransferase	LRAT_HUMAN|LRAT	protein	taxon:9606	20100727	UniProt		
GO:0016416	UniProtKB	O95237	LRAT		Reactome:R-HSA-2404137	TAS		F	Lecithin retinol acyltransferase	LRAT_HUMAN|LRAT	protein	taxon:9606	20120813	Reactome		
GO:0032370	UniProtKB	O95237	LRAT		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000029632	P	Lecithin retinol acyltransferase	LRAT_HUMAN|LRAT	protein	taxon:9606	20160409	Ensembl		
GO:0047173	UniProtKB	O95237	LRAT		Reactome:R-HSA-975608	TAS		F	Lecithin retinol acyltransferase	LRAT_HUMAN|LRAT	protein	taxon:9606	20101001	Reactome		
GO:0010454	UniProtKB	O95238	SPDEF		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000110520	P	SAM pointed domain-containing Ets transcription factor	SPDEF_HUMAN|SPDEF|PDEF|PSE	protein	taxon:9606	20160409	Ensembl		
GO:0010455	UniProtKB	O95238	SPDEF		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000110520	P	SAM pointed domain-containing Ets transcription factor	SPDEF_HUMAN|SPDEF|PDEF|PSE	protein	taxon:9606	20160409	Ensembl		
GO:0060480	UniProtKB	O95238	SPDEF		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000110520	P	SAM pointed domain-containing Ets transcription factor	SPDEF_HUMAN|SPDEF|PDEF|PSE	protein	taxon:9606	20160409	Ensembl		
GO:0051256	UniProtKB	O95239	KIF4A		PMID:15843429	IMP		P	Chromosome-associated kinesin KIF4A	KIF4A_HUMAN|KIF4A|KIF4	protein	taxon:9606	20141117	UniProt		
GO:0003696	UniProtKB	O95243	MBD4		PMID:9774669	TAS		F	Methyl-CpG-binding domain protein 4	MBD4_HUMAN|MBD4|MED1	protein	taxon:9606	20030904	PINC		
GO:0008263	UniProtKB	O95243	MBD4		PMID:14614141	IDA		F	Methyl-CpG-binding domain protein 4	MBD4_HUMAN|MBD4|MED1	protein	taxon:9606	20120806	MGI		
GO:0019104	UniProtKB	O95243	MBD4		Reactome:R-HSA-110231	TAS		F	Methyl-CpG-binding domain protein 4	MBD4_HUMAN|MBD4|MED1	protein	taxon:9606	20141120	Reactome		
GO:0005797	UniProtKB	O95249	GOSR1		GO_REF:0000033	IBA	PANTHER:PTN000473329	C	Golgi SNAP receptor complex member 1	GOSR1_HUMAN|GOSR1|GS28	protein	taxon:9606	20150708	GO_Central		
GO:0048209	UniProtKB	O95249	GOSR1		GO_REF:0000033	IBA	PANTHER:PTN000473329	P	Golgi SNAP receptor complex member 1	GOSR1_HUMAN|GOSR1|GS28	protein	taxon:9606	20150708	GO_Central		
GO:0043983	UniProtKB	O95251	KAT7		PMID:16387653	IDA		P	Histone acetyltransferase KAT7	KAT7_HUMAN|KAT7|HBO1|HBOa|MYST2	protein	taxon:9606	20090529	UniProt		
GO:0030551	UniProtKB	O95259	KCNH1	NOT	GO_REF:0000024	ISS	UniProtKB:Q60603	F	Potassium voltage-gated channel subfamily H member 1	KCNH1_HUMAN|KCNH1|EAG|EAG1	protein	taxon:9606	20150121	UniProt		
GO:0032252	UniProtKB	O95267	RASGRP1		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000099593	P	RAS guanyl-releasing protein 1	GRP1_HUMAN|RASGRP1|RASGRP	protein	taxon:9606	20160409	Ensembl		
GO:0032725	UniProtKB	O95267	RASGRP1		PMID:19933860	IMP		P	RAS guanyl-releasing protein 1	GRP1_HUMAN|RASGRP1|RASGRP	protein	taxon:9606	20150325	UniProt	occurs_in(CL:0000623)	
GO:1900274	UniProtKB	O95267	RASGRP1	NOT	PMID:19933860	IMP		P	RAS guanyl-releasing protein 1	GRP1_HUMAN|RASGRP1|RASGRP	protein	taxon:9606	20150325	UniProt		
GO:0032210	UniProtKB	O95271	TNKS		PMID:9822378	IC	GO:1904743	P	Tankyrase-1	TNKS1_HUMAN|TNKS|PARP5A|PARPL|TIN1|TINF1|TNKS1	protein	taxon:9606	20151116	BHF-UCL		
GO:0070198	UniProtKB	O95271	TNKS		PMID:15133513	IMP		P	Tankyrase-1	TNKS1_HUMAN|TNKS|PARP5A|PARPL|TIN1|TINF1|TNKS1	protein	taxon:9606	20151109	BHF-UCL	has_direct_input(UniProtKB:P54274)	
GO:0070212	UniProtKB	O95271	TNKS		PMID:25939383	IMP		P	Tankyrase-1	TNKS1_HUMAN|TNKS|PARP5A|PARPL|TIN1|TINF1|TNKS1	protein	taxon:9606	20151106	BHF-UCL	has_direct_input(UniProtKB:P54274)	
GO:0070213	UniProtKB	O95271	TNKS		PMID:15133513	IDA		P	Tankyrase-1	TNKS1_HUMAN|TNKS|PARP5A|PARPL|TIN1|TINF1|TNKS1	protein	taxon:9606	20151109	BHF-UCL		
GO:1904357	UniProtKB	O95271	TNKS		PMID:25939383	IMP		P	Tankyrase-1	TNKS1_HUMAN|TNKS|PARP5A|PARPL|TIN1|TINF1|TNKS1	protein	taxon:9606	20151106	BHF-UCL		
GO:1904743	UniProtKB	O95271	TNKS		PMID:25939383	IMP		P	Tankyrase-1	TNKS1_HUMAN|TNKS|PARP5A|PARPL|TIN1|TINF1|TNKS1	protein	taxon:9606	20151106	BHF-UCL	has_regulation_target(UniProtKB:P54274)	
GO:1904908	UniProtKB	O95271	TNKS		PMID:26373281	IMP		P	Tankyrase-1	TNKS1_HUMAN|TNKS|PARP5A|PARPL|TIN1|TINF1|TNKS1	protein	taxon:9606	20160119	BHF-UCL		
GO:0019203	UniProtKB	O95278	EPM2A		PMID:16901901	EXP		F	Laforin	EPM2A_HUMAN|EPM2A	protein	taxon:9606	20130627	Reactome		
GO:0019048	UniProtKB	O95292	VAPB		PMID:16227268	IDA		P	Vesicle-associated membrane protein-associated protein B/C	VAPB_HUMAN|VAPB|UNQ484/PRO983	protein	taxon:9606|taxon:11103	20070814	UniProt		
GO:0033149	UniProtKB	O95292	VAPB		PMID:18713837	IMP		F	Vesicle-associated membrane protein-associated protein B/C	VAPB_HUMAN|VAPB|UNQ484/PRO983	protein	taxon:9606	20141105	UniProt		
GO:0044790	UniProtKB	O95292	VAPB		PMID:19515777	IDA		P	Vesicle-associated membrane protein-associated protein B/C	VAPB_HUMAN|VAPB|UNQ484/PRO983	protein	taxon:9606	20160318	AgBase		UniProtKB:O95292-2
GO:0044791	UniProtKB	O95292	VAPB		PMID:19515777	IDA		P	Vesicle-associated membrane protein-associated protein B/C	VAPB_HUMAN|VAPB|UNQ484/PRO983	protein	taxon:9606	20160318	AgBase		UniProtKB:O95292-1
GO:0044829	UniProtKB	O95292	VAPB		PMID:19515777	IDA		P	Vesicle-associated membrane protein-associated protein B/C	VAPB_HUMAN|VAPB|UNQ484/PRO983	protein	taxon:9606	20160318	AgBase		UniProtKB:O95292-1
GO:0044830	UniProtKB	O95292	VAPB		PMID:19515777	IDA		P	Vesicle-associated membrane protein-associated protein B/C	VAPB_HUMAN|VAPB|UNQ484/PRO983	protein	taxon:9606	20160318	AgBase		UniProtKB:O95292-2
GO:0046725	UniProtKB	O95292	VAPB		PMID:19515777	IDA		P	Vesicle-associated membrane protein-associated protein B/C	VAPB_HUMAN|VAPB|UNQ484/PRO983	protein	taxon:9606	20160318	AgBase		UniProtKB:O95292-2
GO:0090114	UniProtKB	O95292	VAPB		PMID:18713837	IMP		P	Vesicle-associated membrane protein-associated protein B/C	VAPB_HUMAN|VAPB|UNQ484/PRO983	protein	taxon:9606	20141105	UniProt		
GO:0016188	UniProtKB	O95295	SNAPIN		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000122090	P	SNARE-associated protein Snapin	SNAPN_HUMAN|SNAPIN|BLOC1S7|SNAP25BP|SNAPAP	protein	taxon:9606	20160409	Ensembl		
GO:0043393	UniProtKB	O95295	SNAPIN		PMID:23949442	IMP		P	SNARE-associated protein Snapin	SNAPN_HUMAN|SNAPIN|BLOC1S7|SNAP25BP|SNAPAP	protein	taxon:9606	20140326	ParkinsonsUK-UCL	has_input(UniProtKB:P21707),occurs_in(UBERON:0000955)	
GO:0072553	UniProtKB	O95295	SNAPIN		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000122090	P	SNARE-associated protein Snapin	SNAPN_HUMAN|SNAPIN|BLOC1S7|SNAP25BP|SNAPAP	protein	taxon:9606	20160409	Ensembl		
GO:1902824	UniProtKB	O95295	SNAPIN		PMID:23949442	TAS		P	SNARE-associated protein Snapin	SNAPN_HUMAN|SNAPIN|BLOC1S7|SNAP25BP|SNAPAP	protein	taxon:9606	20140414	ParkinsonsUK-UCL		
GO:0009051	UniProtKB	O95336	PGLS		GO_REF:0000019	IEA	Ensembl:ENSRNOP00000024827	P	6-phosphogluconolactonase	6PGL_HUMAN|PGLS	protein	taxon:9606	20160409	Ensembl		
GO:0008554	UniProtKB	O95342	ABCB11		PMID:9806540	TAS		F	Bile salt export pump	ABCBB_HUMAN|ABCB11|BSEP	protein	taxon:9606	20030904	PINC		
GO:0015126	UniProtKB	O95342	ABCB11		GO_REF:0000033	IBA	PANTHER:PTN000657279	F	Bile salt export pump	ABCBB_HUMAN|ABCB11|BSEP	protein	taxon:9606	20100723	GO_Central		
GO:0046581	UniProtKB	O95342	ABCB11		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000099770	C	Bile salt export pump	ABCBB_HUMAN|ABCB11|BSEP	protein	taxon:9606	20160409	Ensembl		
GO:0001222	UniProtKB	O95343	SIX3		PMID:12441302	IPI	UniProtKB:Q04724	F	Homeobox protein SIX3	SIX3_HUMAN|SIX3	protein	taxon:9606	20140822	UniProt		
GO:0002070	UniProtKB	O95343	SIX3		GO_REF:0000024	ISS	UniProtKB:Q62233	P	Homeobox protein SIX3	SIX3_HUMAN|SIX3	protein	taxon:9606	20140908	UniProt		
GO:0003404	UniProtKB	O95343	SIX3		GO_REF:0000024	ISS	UniProtKB:Q62233	P	Homeobox protein SIX3	SIX3_HUMAN|SIX3	protein	taxon:9606	20140908	UniProt		
GO:0009946	UniProtKB	O95343	SIX3		GO_REF:0000024	ISS	UniProtKB:Q62233	P	Homeobox protein SIX3	SIX3_HUMAN|SIX3	protein	taxon:9606	20140908	UniProt		
GO:0014016	UniProtKB	O95343	SIX3		GO_REF:0000024	ISS	UniProtKB:Q62233	P	Homeobox protein SIX3	SIX3_HUMAN|SIX3	protein	taxon:9606	20140908	UniProt		
GO:0021798	UniProtKB	O95343	SIX3		PMID:18791198	IDA		P	Homeobox protein SIX3	SIX3_HUMAN|SIX3	protein	taxon:9606	20140820	UniProt		
GO:0021978	UniProtKB	O95343	SIX3		GO_REF:0000024	ISS	UniProtKB:Q62233	P	Homeobox protein SIX3	SIX3_HUMAN|SIX3	protein	taxon:9606	20140908	UniProt		
GO:0060235	UniProtKB	O95343	SIX3		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000135312	P	Homeobox protein SIX3	SIX3_HUMAN|SIX3	protein	taxon:9606	20160409	Ensembl		
GO:0061074	UniProtKB	O95343	SIX3		GO_REF:0000024	ISS	UniProtKB:Q62233	P	Homeobox protein SIX3	SIX3_HUMAN|SIX3	protein	taxon:9606	20140908	UniProt		
GO:0097402	UniProtKB	O95343	SIX3		GO_REF:0000024	ISS	UniProtKB:Q62233	P	Homeobox protein SIX3	SIX3_HUMAN|SIX3	protein	taxon:9606	20140908	UniProt		
GO:1901987	UniProtKB	O95343	SIX3		GO_REF:0000024	ISS	UniProtKB:Q62233	P	Homeobox protein SIX3	SIX3_HUMAN|SIX3	protein	taxon:9606	20140908	UniProt		
GO:1902692	UniProtKB	O95343	SIX3		GO_REF:0000024	ISS	UniProtKB:Q62233	P	Homeobox protein SIX3	SIX3_HUMAN|SIX3	protein	taxon:9606	20140908	UniProt		
GO:1990086	UniProtKB	O95343	SIX3		GO_REF:0000024	ISS	UniProtKB:Q62233	P	Homeobox protein SIX3	SIX3_HUMAN|SIX3	protein	taxon:9606	20140908	UniProt		
GO:0010032	UniProtKB	O95347	SMC2		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000099979	P	Structural maintenance of chromosomes protein 2	SMC2_HUMAN|SMC2|CAPE|SMC2L1|PRO0324	protein	taxon:9606	20160409	Ensembl		
GO:0045132	UniProtKB	O95347	SMC2		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000099979	P	Structural maintenance of chromosomes protein 2	SMC2_HUMAN|SMC2|CAPE|SMC2L1|PRO0324	protein	taxon:9606	20160409	Ensembl		
GO:0051383	UniProtKB	O95347	SMC2		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000099979	P	Structural maintenance of chromosomes protein 2	SMC2_HUMAN|SMC2|CAPE|SMC2L1|PRO0324	protein	taxon:9606	20160409	Ensembl		
GO:0019778	UniProtKB	O95352	ATG7		GO_REF:0000033	IBA	PANTHER:PTN000102341	F	Ubiquitin-like modifier-activating enzyme ATG7	ATG7_HUMAN|ATG7|APG7L	protein	taxon:9606	20140605	GO_Central		
GO:0019779	UniProtKB	O95352	ATG7		GO_REF:0000033	IBA	PANTHER:PTN000102341	F	Ubiquitin-like modifier-activating enzyme ATG7	ATG7_HUMAN|ATG7|APG7L	protein	taxon:9606	20140605	GO_Central		
GO:0034727	UniProtKB	O95352	ATG7		GO_REF:0000033	IBA	PANTHER:PTN000102341	P	Ubiquitin-like modifier-activating enzyme ATG7	ATG7_HUMAN|ATG7|APG7L	protein	taxon:9606	20140605	GO_Central		
GO:0039521	UniProtKB	O95352	ATG7		PMID:23290079	IMP		P	Ubiquitin-like modifier-activating enzyme ATG7	ATG7_HUMAN|ATG7|APG7L	protein	taxon:9606	20130305	CACAO		
GO:0044805	UniProtKB	O95352	ATG7		GO_REF:0000033	IBA	PANTHER:PTN000102341	P	Ubiquitin-like modifier-activating enzyme ATG7	ATG7_HUMAN|ATG7|APG7L	protein	taxon:9606	20140605	GO_Central		
GO:0071455	UniProtKB	O95352	ATG7		PMID:20543840	IDA		P	Ubiquitin-like modifier-activating enzyme ATG7	ATG7_HUMAN|ATG7|APG7L	protein	taxon:9606	20140523	UniProt		
GO:0032089	UniProtKB	O95361	TRIM16		PMID:16575408	IPI	UniProtKB:Q9C000	F	Tripartite motif-containing protein 16	TRI16_HUMAN|TRIM16|EBBP	protein	taxon:9606	20090511	UniProt		
GO:0046683	UniProtKB	O95361	TRIM16		PMID:16079077	IEP		P	Tripartite motif-containing protein 16	TRI16_HUMAN|TRIM16|EBBP	protein	taxon:9606	20090511	UniProt		
GO:0048386	UniProtKB	O95361	TRIM16		PMID:16636064	IDA		P	Tripartite motif-containing protein 16	TRI16_HUMAN|TRIM16|EBBP	protein	taxon:9606	20090511	UniProt		
GO:0060416	UniProtKB	O95361	TRIM16		PMID:11919186	IDA		P	Tripartite motif-containing protein 16	TRI16_HUMAN|TRIM16|EBBP	protein	taxon:9606	20090511	UniProt		
GO:0035035	UniProtKB	O95365	ZBTB7A		PMID:15337766	ISS	UniProtKB:O88939	F	Zinc finger and BTB domain-containing protein 7A	ZBT7A_HUMAN|ZBTB7A|FBI1|LRF|ZBTB7|ZNF857A	protein	taxon:9606	20050609	UniProt		
GO:0048588	UniProtKB	O95376	ARIH2		PMID:19340006	IDA		P	E3 ubiquitin-protein ligase ARIH2	ARI2_HUMAN|ARIH2|ARI2|TRIAD1|HT005	protein	taxon:9606	20100628	UniProt		
GO:0060713	UniProtKB	O95377	GJB5		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000045325	P	Gap junction beta-5 protein	CXB5_HUMAN|GJB5	protein	taxon:9606	20160409	Ensembl		
GO:0021512	UniProtKB	O95390	GDF11		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000026408	P	Growth/differentiation factor 11	GDF11_HUMAN|GDF11|BMP11	protein	taxon:9606	20160409	Ensembl		
GO:0000389	UniProtKB	O95391	SLU7		PMID:15728250	IDA		P	Pre-mRNA-splicing factor SLU7	SLU7_HUMAN|SLU7	protein	taxon:9606	20061206	HGNC		
GO:0030628	UniProtKB	O95391	SLU7		PMID:15728250	IDA		F	Pre-mRNA-splicing factor SLU7	SLU7_HUMAN|SLU7	protein	taxon:9606	20061206	HGNC		
GO:0031433	UniProtKB	O95393	BMP10		PMID:17921333	IPI	UniProtKB:O15273	F	Bone morphogenetic protein 10	BMP10_HUMAN|BMP10	protein	taxon:9606	20141118	BHF-UCL		
GO:0033612	UniProtKB	O95393	BMP10		PMID:17068149	IDA		F	Bone morphogenetic protein 10	BMP10_HUMAN|BMP10	protein	taxon:9606	20071011	UniProt		
GO:0055009	UniProtKB	O95393	BMP10		PMID:10072785	ISS	UniProtKB:Q9R229	P	Bone morphogenetic protein 10	BMP10_HUMAN|BMP10	protein	taxon:9606	20080604	BHF-UCL		
GO:0060038	UniProtKB	O95393	BMP10		GO_REF:0000024	ISS	UniProtKB:Q9R229	P	Bone morphogenetic protein 10	BMP10_HUMAN|BMP10	protein	taxon:9606	20071011	UniProt		
GO:0060298	UniProtKB	O95393	BMP10		PMID:17921333	IDA		P	Bone morphogenetic protein 10	BMP10_HUMAN|BMP10	protein	taxon:9606	20120927	BHF-UCL	occurs_in(UBERON:0000948)	
GO:0060347	UniProtKB	O95393	BMP10		GO_REF:0000024	ISS	UniProtKB:Q9R229	P	Bone morphogenetic protein 10	BMP10_HUMAN|BMP10	protein	taxon:9606	20081104	BHF-UCL		
GO:1903242	UniProtKB	O95393	BMP10		PMID:17921333	IDA		P	Bone morphogenetic protein 10	BMP10_HUMAN|BMP10	protein	taxon:9606	20141118	BHF-UCL		
GO:2000138	UniProtKB	O95393	BMP10		GO_REF:0000024	ISS	UniProtKB:Q9R229	P	Bone morphogenetic protein 10	BMP10_HUMAN|BMP10	protein	taxon:9606	20120925	BHF-UCL		
GO:0004614	UniProtKB	O95394	PGM3		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000070871	F	Phosphoacetylglucosamine mutase	AGM1_HUMAN|PGM3|AGM1	protein	taxon:9606	20160409	Ensembl		
GO:0019255	UniProtKB	O95394	PGM3		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000070871	P	Phosphoacetylglucosamine mutase	AGM1_HUMAN|PGM3|AGM1	protein	taxon:9606	20160409	Ensembl		
GO:0002426	UniProtKB	O95395	GCNT3		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000034751	P	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 3	GCNT3_HUMAN|GCNT3	protein	taxon:9606	20160409	Ensembl		
GO:0003829	UniProtKB	O95395	GCNT3		Reactome:R-HSA-914012	TAS		F	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 3	GCNT3_HUMAN|GCNT3	protein	taxon:9606	20100721	Reactome		
